crime_type,Category,day_Sun,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,community_area_1,community_area_2,community_area_3,community_area_4,community_area_5,community_area_6,community_area_7,community_area_8,community_area_9,community_area_10,community_area_11,community_area_12,community_area_13,community_area_14,community_area_15,community_area_16,community_area_17,community_area_18,community_area_19,community_area_20,community_area_21,community_area_22,community_area_23,community_area_24,community_area_25,community_area_26,community_area_27,community_area_28,community_area_29,community_area_30,community_area_31,community_area_32,community_area_33,community_area_34,community_area_35,community_area_36,community_area_37,community_area_38,community_area_39,community_area_40,community_area_41,community_area_42,community_area_43,community_area_44,community_area_45,community_area_46,community_area_47,community_area_48,community_area_49,community_area_50,community_area_51,community_area_52,community_area_53,community_area_54,community_area_55,community_area_56,community_area_57,community_area_58,community_area_59,community_area_60,community_area_61,community_area_62,community_area_63,community_area_64,community_area_65,community_area_66,community_area_67,community_area_68,community_area_69,community_area_70,community_area_71,community_area_72,community_area_73,community_area_74,community_area_75,community_area_76,community_area_77
ARSON: BY FIRE,P1P,0.138810198,0.135977337,0.155807365,0.121813031,0.130311615,0.147308782,0.169971671,0.073654391,0.079320113,0.076487252,0.087818697,0.082152975,0.073654391,0.039660057,0.033994334,0.014164306,0.016997167,0.016997167,0.016997167,0.031161473,0.019830028,0.019830028,0.019830028,0.025495751,0.02266289,0.02266289,0.053824363,0.033994334,0.033994334,0.042492918,0.062322946,0.005665722,0.008498584,0.002832861,0,0,0.005665722,0.011331445,0.002832861,0,0,0,0,0.002832861,0.008498584,0.011331445,0.008498584,0.016997167,0.002832861,0.04815864,0.02266289,0.016997167,0.028328612,0.028328612,0.008498584,0.079320113,0.011331445,0.016997167,0.011331445,0.031161473,0.045325779,0.031161473,0.002832861,0,0.002832861,0,0.002832861,0.005665722,0.002832861,0.002832861,0.002832861,0,0,0.011331445,0.02266289,0.008498584,0.011331445,0,0.002832861,0.04815864,0,0.011331445,0.008498584,0.036827195,0.005665722,0.002832861,0.008498584,0.002832861,0.02266289,0.008498584,0,0.033994334,0.008498584,0.005665722,0.005665722,0.042492918,0.062322946,0.042492918,0.019830028,0.016997167,0.019830028,0.02266289,0.005665722,0,0.002832861,0.005665722,0,0.002832861
ASSAULT: AGG PO HANDS NO/MIN INJURY,P2,0.151851852,0.118518519,0.162962963,0.122222222,0.12962963,0.12962963,0.185185185,0.055555556,0.07037037,0.033333333,0.014814815,0.025925926,0.003703704,0.007407407,0.014814815,0.018518519,0.02962963,0.037037037,0.025925926,0.055555556,0.037037037,0.055555556,0.077777778,0.048148148,0.059259259,0.044444444,0.044444444,0.077777778,0.044444444,0.074074074,0.044444444,0.014814815,0.011111111,0.014814815,0.003703704,0.003703704,0.018518519,0.003703704,0.011111111,0,0.007407407,0.011111111,0,0,0,0.011111111,0.007407407,0.003703704,0.003703704,0.033333333,0.003703704,0.003703704,0.007407407,0.033333333,0.014814815,0.07037037,0.011111111,0.022222222,0.025925926,0.048148148,0.051851852,0.011111111,0.014814815,0.007407407,0.003703704,0.014814815,0,0,0.007407407,0,0.011111111,0,0.011111111,0.059259259,0.018518519,0.003703704,0.02962963,0,0.003703704,0.044444444,0,0.007407407,0.003703704,0.018518519,0,0.003703704,0.011111111,0.003703704,0.011111111,0.011111111,0.007407407,0.003703704,0,0.007407407,0,0.003703704,0.033333333,0.011111111,0.037037037,0.048148148,0.018518519,0.025925926,0.003703704,0.003703704,0.003703704,0.011111111,0.011111111,0.007407407
ASSAULT: AGGRAVATED: HANDGUN,P1V,0.149912434,0.139404553,0.14150613,0.131348511,0.136952715,0.133099825,0.167775832,0.040630473,0.039579685,0.033274956,0.036777583,0.018563923,0.014010508,0.012609457,0.021366025,0.025569177,0.034676007,0.039229422,0.033274956,0.041330998,0.039579685,0.055341506,0.052189142,0.059894921,0.056392294,0.06234676,0.051838879,0.05323993,0.066549912,0.055691769,0.056042032,0.00910683,0.009457093,0.006654991,0.003152364,0.002101576,0.003152364,0.001751313,0.010157618,0,0.002101576,0.001050788,0.001401051,0.002101576,0.010507881,0.007705779,0.007355517,0.005954466,0.002101576,0.024518389,0.007355517,0.005604203,0.016812609,0.041330998,0.021716287,0.073555166,0.021366025,0.021366025,0.013309982,0.042031524,0.026619965,0.016812609,0.004203152,0.002802102,0.002451839,0.006654991,0.001751313,0.006654991,0.018563923,0.00525394,0.013309982,0.002802102,0.013309982,0.031873905,0.021015762,0.007705779,0.02591944,0.002451839,0.00525394,0.038879159,0.004553415,0.009807356,0.005604203,0.019614711,0.008756567,0.001050788,0.003502627,0.004203152,0.015761821,0.006304729,0.004203152,0.035376532,0.003152364,0.014360771,0.002451839,0.007005254,0.024168126,0.040630473,0.035376532,0.031523643,0.013309982,0.042732049,0.002101576,0.017863398,0,0.012259194,0.002101576,0.003152364
ASSAULT: AGGRAVATED: OTHER DANG WEAPON,P1V,0.125,0.139,0.148,0.153,0.133,0.142,0.16,0.034,0.026,0.018,0.009,0.01,0.015,0.02,0.017,0.033,0.036,0.055,0.046,0.05,0.054,0.045,0.058,0.073,0.078,0.068,0.066,0.059,0.038,0.051,0.041,0.014,0.011,0.014,0.003,0.006,0.012,0.004,0.021,0.001,0.002,0.003,0.001,0.001,0.007,0.013,0.011,0.007,0.005,0.019,0.005,0.003,0.014,0.036,0.016,0.069,0.017,0.025,0.033,0.046,0.022,0.006,0.014,0.009,0.004,0.006,0.005,0.003,0.009,0.008,0.011,0.006,0.017,0.034,0.032,0.002,0.032,0.001,0.008,0.031,0.003,0.008,0.005,0.022,0.006,0.007,0.005,0.003,0.014,0.002,0.014,0.026,0,0.011,0.002,0.005,0.017,0.036,0.028,0.03,0.014,0.037,0.003,0.01,0.002,0.002,0.003,0.006
ASSAULT: AGGRAVATED: OTHER FIREARM,P1V,0.156862745,0.107843137,0.166666667,0.117647059,0.147058824,0.117647059,0.18627451,0.009803922,0.009803922,0.029411765,0.009803922,0.009803922,0.019607843,0.039215686,0.019607843,0,0.029411765,0.039215686,0.009803922,0.049019608,0.049019608,0.029411765,0.009803922,0.107843137,0.117647059,0.058823529,0.068627451,0.078431373,0.068627451,0.049019608,0.088235294,0,0.009803922,0,0.009803922,0.009803922,0.019607843,0,0,0,0.009803922,0,0.009803922,0,0,0,0.019607843,0.009803922,0,0.009803922,0.009803922,0.009803922,0.019607843,0.029411765,0.019607843,0.088235294,0.039215686,0.029411765,0,0.068627451,0.019607843,0,0,0.009803922,0,0,0,0,0.019607843,0.009803922,0.029411765,0.009803922,0.029411765,0.039215686,0.009803922,0.019607843,0.029411765,0,0.009803922,0.029411765,0,0.009803922,0.009803922,0.019607843,0.029411765,0,0.019607843,0,0.009803922,0.009803922,0.009803922,0.039215686,0,0.009803922,0.009803922,0.009803922,0.029411765,0.009803922,0.029411765,0.019607843,0.009803922,0.019607843,0,0,0,0.009803922,0,0
ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR,P1V,0.154824233,0.142857143,0.137621541,0.150336574,0.134629768,0.139117427,0.140613313,0.048616305,0.031413613,0.02617801,0.015706806,0.018698579,0.017950636,0.017950636,0.023934181,0.035153328,0.038893044,0.045624533,0.04038893,0.044128646,0.044876589,0.053851907,0.058339566,0.062827225,0.055347794,0.059835453,0.044876589,0.05684368,0.060583396,0.049364248,0.048616305,0.014958863,0.005983545,0.020194465,0.004487659,0.002991773,0.008227375,0.008975318,0.017202693,0.000747943,0.002991773,0.004487659,0.000747943,0.002243829,0.006731488,0.015706806,0.011219147,0.006731488,0.002243829,0.017202693,0.003739716,0.018698579,0.022438295,0.032161556,0.021690352,0.074794316,0.017950636,0.023934181,0.023934181,0.046372476,0.029169783,0.015706806,0.020942408,0.005235602,0.005983545,0.010471204,0.003739716,0.005235602,0.012715034,0.003739716,0.005235602,0.002243829,0.012715034,0.046372476,0.02617801,0.002991773,0.021690352,0.003739716,0.003739716,0.030665669,0.005235602,0.008227375,0.005235602,0.013462977,0.004487659,0.004487659,0.009723261,0.000747943,0.010471204,0.005983545,0.003739716,0.027673897,0.002243829,0.009723261,0.002243829,0.006731488,0.023186238,0.030665669,0.031413613,0.018698579,0.008227375,0.032909499,0.001495886,0.008975318,0.000747943,0.002991773,0.002243829,0.009723261
ASSAULT: PRO EMP HANDS NO/MIN INJURY,P2,0.030685921,0.146209386,0.185920578,0.240072202,0.180505415,0.166064982,0.050541516,0.005415162,0.007220217,0.005415162,0.005415162,0.003610108,0.005415162,0.009025271,0.037906137,0.064981949,0.093862816,0.093862816,0.072202166,0.106498195,0.106498195,0.086642599,0.110108303,0.05234657,0.028880866,0.019855596,0.025270758,0.019855596,0.016245487,0.014440433,0.009025271,0.005415162,0.003610108,0.014440433,0.003610108,0.001805054,0.005415162,0.001805054,0.028880866,0.001805054,0.005415162,0,0.001805054,0,0.001805054,0.005415162,0.005415162,0,0,0.016245487,0.007220217,0.001805054,0.003610108,0.010830325,0.018050542,0.048736462,0.016245487,0.039711191,0.037906137,0.046931408,0.016245487,0.005415162,0.018050542,0.009025271,0.005415162,0.041516245,0,0.010830325,0.023465704,0.005415162,0.032490975,0.001805054,0.048736462,0.037906137,0.025270758,0.010830325,0.019855596,0,0.003610108,0.030685921,0.014440433,0.010830325,0.010830325,0.005415162,0.007220217,0,0.016245487,0.005415162,0.001805054,0,0.003610108,0.032490975,0.001805054,0.009025271,0.001805054,0.005415162,0.027075812,0.025270758,0.048736462,0.032490975,0.012635379,0.023465704,0,0.010830325,0,0.005415162,0,0.007220217
ASSAULT: SIMPLE,P2,0.133993343,0.14602714,0.150038406,0.149014253,0.146709909,0.14406418,0.130152769,0.024067594,0.019288214,0.016471793,0.013228642,0.00827857,0.009814799,0.014082103,0.027310745,0.036016045,0.046513613,0.050524878,0.055133567,0.057779295,0.057437911,0.061107792,0.073482973,0.069301016,0.065545788,0.062046599,0.058888794,0.050951609,0.046940343,0.039856619,0.035930699,0.013399334,0.012204489,0.013996757,0.005718187,0.003328497,0.012460527,0.006827686,0.022104634,0.001877614,0.004864726,0.005206111,0.001792268,0.002987113,0.007766493,0.012204489,0.010497568,0.007681147,0.00238969,0.017922676,0.005035419,0.007937185,0.014252795,0.031407357,0.021165827,0.06486302,0.01698387,0.022019288,0.03046855,0.031065973,0.019714944,0.010582914,0.021848596,0.007169071,0.003243151,0.01066826,0.003328497,0.004950073,0.01305795,0.006571648,0.011607067,0.00435265,0.014423487,0.041392848,0.025347785,0.005974225,0.026969361,0.002048306,0.005803533,0.030809934,0.006571648,0.010156183,0.006486302,0.018946829,0.007851839,0.002987113,0.006656994,0.003328497,0.009558761,0.003413843,0.007083725,0.019885636,0.002901767,0.007851839,0.003669881,0.005462149,0.025603824,0.029359051,0.030639242,0.030809934,0.009900145,0.032175472,0.003669881,0.011180336,0.001621575,0.008449262,0.004864726,0.008619954
BATTERY: AGG PO HANDS NO/MIN INJURY,P2,0.153061224,0.119047619,0.12755102,0.132653061,0.151360544,0.164965986,0.151360544,0.05952381,0.049319728,0.035714286,0.028911565,0.018707483,0.015306122,0.005102041,0.011904762,0.022108844,0.011904762,0.037414966,0.039115646,0.037414966,0.052721088,0.037414966,0.069727891,0.047619048,0.044217687,0.05952381,0.05952381,0.06462585,0.052721088,0.083333333,0.056122449,0.018707483,0.00170068,0.013605442,0.011904762,0.00170068,0.032312925,0.00170068,0.044217687,0,0.00170068,0.003401361,0.00170068,0.003401361,0.006802721,0.011904762,0.003401361,0.005102041,0.005102041,0.017006803,0.003401361,0.006802721,0.013605442,0.035714286,0.011904762,0.05952381,0.037414966,0.035714286,0.023809524,0.056122449,0.023809524,0.003401361,0.030612245,0.011904762,0.003401361,0.015306122,0,0.00170068,0.008503401,0.00170068,0.010204082,0.00170068,0.015306122,0.030612245,0.018707483,0.003401361,0.018707483,0,0.003401361,0.020408163,0.011904762,0.003401361,0.003401361,0.011904762,0.008503401,0.00170068,0.010204082,0.003401361,0.008503401,0.003401361,0.008503401,0.015306122,0.005102041,0.003401361,0.003401361,0.00170068,0.018707483,0.045918367,0.032312925,0.034013605,0.008503401,0.028911565,0,0.008503401,0.00170068,0.008503401,0.008503401,0.008503401
BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY,P2,0.114503817,0.13740458,0.190839695,0.122137405,0.13740458,0.152671756,0.145038168,0.06870229,0.007633588,0.038167939,0.038167939,0.038167939,0.030534351,0.015267176,0.015267176,0.015267176,0.038167939,0.053435115,0.038167939,0.045801527,0.061068702,0.076335878,0.091603053,0.076335878,0.061068702,0.038167939,0.061068702,0.015267176,0.022900763,0.030534351,0.022900763,0.022900763,0.015267176,0.007633588,0,0.007633588,0.06870229,0.007633588,0.061068702,0,0,0,0,0,0.007633588,0,0.015267176,0,0,0.030534351,0.007633588,0.007633588,0.007633588,0.015267176,0.022900763,0.053435115,0.038167939,0.022900763,0.015267176,0.030534351,0.022900763,0.007633588,0.015267176,0.007633588,0,0,0,0,0.015267176,0.007633588,0.015267176,0,0.022900763,0.022900763,0.045801527,0,0.015267176,0,0.022900763,0.030534351,0.015267176,0,0,0,0,0,0.007633588,0,0.015267176,0,0.015267176,0.007633588,0,0,0.007633588,0,0.015267176,0.038167939,0.007633588,0.053435115,0.007633588,0.030534351,0,0.015267176,0,0.022900763,0,0.022900763
