Longitude,Latitude,AvgDailyTrafficCount
-80.27836587,40.46860562,84
-80.16211738,40.38459789,95
-80.22120473,40.36677795,97
-80.14245484,40.6220841,111
-80.13197496,40.54491527,125
-80.13967446,40.6235896,126
-79.81338453,40.58385165,134
-80.13204837,40.53703776,136
-80.27816831,40.46638584,136
-80.1388488,40.59146682,141
-79.92611788,40.23849274,172
-79.87662789,40.22430926,200
-79.85375139,40.33138892,205
-79.71085292,40.51575131,207
-79.88511332,40.20231507,207
-79.922908,40.2133848,221
-80.12763191,40.58135479,223
-79.88380187,40.1995109,227
-79.88257468,40.62445665,247
-80.31494883,40.4760964,248
-79.96262665,40.29165472,289
-80.12117348,40.52689503,307
-79.68191838,40.50954858,311
-80.20457698,40.40845446,314
-80.23171227,40.55754401,324
-80.29106463,40.43492932,328
-80.27084791,40.44239443,328
-80.28884198,40.43551911,328
-80.16625494,40.41596603,349
-79.80001385,40.26997149,361
-80.18304666,40.33263267,364
-80.13555465,40.57056422,382
-80.16722009,40.60162053,391
-79.85453318,40.29818456,392
-79.71986141,40.53674108,401
-80.12569166,40.57224961,410
-80.29856622,40.47668125,413
-80.26487269,40.41348206,428
-79.78699507,40.47153406,450
-80.14180956,40.57933052,451
-80.12915388,40.53015298,453
-79.82903814,40.57457597,465
-79.841801,40.58756651,471
-79.99334203,40.47659553,476
-79.995092,40.47486925,487
-80.14574256,40.41985179,502
-80.25364707,40.41986651,508
-80.14070889,40.49962886,509
-79.92370137,40.27445365,510
-80.14992637,40.53068106,513
-79.9301941,40.26630593,529
-80.23603554,40.56154963,530
-80.30201477,40.44921657,554
-79.87218532,40.56820753,556
-79.74774334,40.6380571,560
-80.20797973,40.39893663,564
-80.07497149,40.46605233,567
-79.88758153,40.27146726,567
-79.87189319,40.23731619,585
-79.79474006,40.61936703,594
-80.20283561,40.47773393,605
-79.79073076,40.64899735,625
-80.1453316,40.32183749,643
-79.89855517,40.23090191,653
-80.2627254,40.42636864,656
-79.79607838,40.65677097,680
-80.29231882,40.43616882,692
-80.10808604,40.52810713,693
-79.76158468,40.64986816,694
-80.11095267,40.394338,707
-79.87211878,40.38903333,709
-80.23490799,40.40627126,725
-79.9404011,40.2384353,754
-79.98164869,40.46947238,758
-79.82951362,40.62017296,782
-80.27189096,40.51680577,786
