area,land,year,price,bldtype
2607,1200,2010,825000.0,0
1950,1783,1899,1685000.0,0
2520,1875,1899,1100000.0,0
3750,3125,1931,1200000.0,1
7812,5021,1908,1900000.0,1
2820,1681,1899,3200000.0,0
3336,2225,1901,3500000.0,0
3378,1178,1900,3050000.0,0
12500,2500,1900,4250000.0,1
104172,4348,2009,3000000.0,1
2744,1400,1901,1400000.0,0
2880,2000,1920,2390000.0,0
4600,1869,1829,6200000.0,0
3268,1929,1829,2025000.0,0
4035,1480,1899,1500000.0,0
4600,3064,1836,5325000.0,0
5100,2500,1899,4900000.0,0
3824,2380,1920,2650000.0,0
2550,900,1901,2995000.0,0
3560,890,2003,2975000.0,0
1680,1117,1899,2250000.0,0
2600,1168,1899,2500000.0,0
2422,1164,1899,2125000.0,0
3750,2500,1930,3600000.0,0
2580,2225,1901,1731025.0,0
1736,1483,1920,3445000.0,0
4274,2043,1901,4575000.0,0
3400,1700,1901,2750000.0,0
3360,1470,1848,2682500.0,0
3060,1425,1910,1450000.0,0
1696,589,1899,999000.0,0
3528,2097,1899,2900000.0,0
12164,11100,1956,200000.0,1
12164,11100,1956,200000.0,1
9200,5265,1905,253700.0,1
9200,5265,1905,253700.0,1
159457,35680,1920,4500000.0,1
58300,13100,1920,900000.0,1
5096,2646,1920,3000000.0,1
2240,1370,1901,1050000.0,0
2607,1200,2010,2250000.0,0
1608,1325,1901,1780000.0,0
6740,5400,1948,3675000.0,1
3850,10000,1967,3900000.0,1
3850,10000,1967,3600000.0,1
16102,8051,1900,2750000.0,1
3213,3165,1829,3200000.0,0
2760,1263,1899,2600000.0,0
1300,792,1999,2100000.0,0
2235,1800,1920,2700000.0,0
3750,2500,1930,3920000.0,0
1736,1483,1920,3200000.0,0
4552,2675,1899,4100000.0,0
2496,2600,1920,1950000.0,1
1056,679,1899,1198000.0,0
2816,1664,1901,2619000.0,0
3430,1406,1900,1000000.0,1
3151,1450,1900,950000.0,1
7500,2513,1931,1500000.0,1
10000,9142,1930,6130000.0,1
7650,7650,1931,3200000.0,1
3000,2500,1931,900000.0,1
5800,2500,1931,1700000.0,1
2475,2496,1931,800000.0,1
4296,1637,2005,3400000.0,0
12500,2571,1915,5500000.0,1
1561,6311,1979,604918.0,1
7722,4904,1930,2300000.0,1
1626,1020,1847,1500000.0,0
3060,1894,1844,4075000.0,0
3108,2680,1829,2900000.0,0
680,340,1899,885000.0,0
1820,1228,1899,2375000.0,0
7400,3807,1965,7350000.0,0
3000,1241,2003,3162500.0,0
3000,1155,1899,2900000.0,0
3648,1693,1901,5700000.0,0
4500,1900,1899,5450000.0,0
76041,19250,1962,3200000.0,1
7200,7200,1938,7575000.0,1
3040,1692,1920,2825000.0,1
3327,2161,2010,3300000.0,0
3360,1680,1899,2020000.0,0
1056,1498,1899,1300000.0,0
1056,1911,1899,1300000.0,0
1056,644,1899,139928.0,0
4000,1919,1901,3585000.0,0
18001,8450,1900,6600000.0,1
2550,2239,1931,1550000.0,1
4500,4550,1920,3725000.0,1
12164,45767,1956,5567760.0,1
15707,15707,1966,7830000.0,1
5203,4163,1900,3294000.0,1
3920,1700,2005,3300000.0,0
